"idloc","ropamujer"
22,33586.7065179951
14,26959.8063824188
91,60793.8416690751
32,37025.9133328352
28,34734.8539782715
109,35469.9409240272
46,43891.2150065037
82,52998.4850864336
55,46762.3224675822
45,52411.183877059
69,49855.50879863
86,55728.2110720851
30,52232.4498173484
99,58433.2582460812
115,55470.0512834927
100,89608.0629887172
123,45162.6654704846
127,46831.5780038176
130,54242.8230711257
131,51209.6972008322
132,57607.7000565749
133,43562.7838816752
137,43414.3903652325
138,26953.472299752
140,44904.211369888
147,68999.2616727199
154,68763.3336365337
158,70237.183263909
161,43570.1642520567
164,51466.0655149877
181,45459.1679952924
183,55677.2350065157
194,65479.2661002447
202,49635.4595546438
204,66556.1930101024
210,38433.4729211371
232,42478.2547402301
240,3839.32250472678
242,49648.1651512111
244,48284.6572780554
251,76375.4206825788
259,76709.2412996104
263,65387.4667594151
270,46292.2524289143
271,53671.8332808369
274,52021.8534032985
277,64132.5072345133
279,70220.4132553916
283,38317.645174671
289,40254.1793588146
294,41820.3551760819
295,76098.821365796
299,69102.1360758048
303,81149.1750871378
306,35940.9895546643
307,31725.6099817117
308,49160.0578718853
318,58015.8602442694
329,52529.988685302
331,69852.7433429499
335,52108.5188437856
336,44175.597647749
345,60442.0073737826
346,66207.8026025128
350,77507.9864478122
353,38215.186296576
355,44906.58389037
356,45240.6439986934
365,64249.9709390787
370,58333.2186207689
371,72888.8604069394
372,52924.4906588478
373,57209.3467348048
375,64258.2481849629
377,71680.0757986254
382,45630.3330320133
386,46236.8745025804
387,62460.7834614565
388,62754.3371791736
396,58019.3697037517
400,38066.3264852485
402,47696.1052372382
405,42830.7954182336
410,53075.7313638276
427,46847.5664767621
439,50885.628517701
440,54621.7355023696
442,43962.4542689856
457,38699.4183875745
461,61726.9770397373
462,28492.4435959342
467,66307.2693057248
468,60613.8876847027
471,69634.6545704877
487,76203.8811380816
498,63812.2159168704
499,43394.7215932265
509,50832.574167081
518,49712.2064926233
529,45379.4082874404
530,75219.9195994144
535,44258.114786454
536,34373.9670337731
537,26740.2966885793
538,64512.1655410954
539,68076.1995829808
544,52759.9596189481
548,45533.1386512515
562,67108.8893430993
