"idloc","ropamujer"
22,32283.1563529615
14,27550.5633469429
91,58146.5346486339
32,36666.0325988543
28,31893.4041619667
109,34142.4867349379
46,39887.9265387977
82,49180.7687267701
55,41655.1159938017
45,46804.1555374492
69,44405.836900429
86,51170.1611437607
30,47910.7382194754
99,55175.6396400664
115,50837.4165944486
100,90057.036969951
123,51861.2199461288
127,52383.7042859262
130,50563.8653682284
131,48846.8271520998
132,50781.5296306142
133,37609.73458125
137,41170.751799253
138,31272.1782309073
140,42682.8259382785
147,68811.3126242241
154,66639.0146979046
158,67552.9780505105
161,48406.1334669202
164,48124.3743732709
181,40482.9314118404
183,50245.9325575039
194,58768.9269565633
202,43809.6793717351
204,61493.1009476645
210,34487.8666833473
232,37433.752831962
240,18616.0831596204
242,50813.4602794016
244,46288.1763107834
251,73323.3549356708
259,78310.4187780545
263,60815.3160808731
270,43167.788178236
271,54127.7220353937
274,48258.931515791
277,61522.2129072991
279,67511.8746803561
283,33804.3472387798
289,37537.9951818056
294,38273.5720967378
295,72311.7718412195
299,63702.4528085882
303,80442.5846519002
306,33804.310841825
307,30576.1012162596
308,55201.6168087816
318,57038.975622194
329,51811.367282228
331,70850.4812850193
335,47728.9630915132
336,40786.596412549
345,56785.8029198862
346,67525.0365763934
350,78833.7075273945
353,36139.5174444782
355,39502.6149410833
356,42085.2481832182
365,62174.7997668697
370,57640.2631233451
371,70228.1091047031
372,53726.227706726
373,53811.8506856995
375,61458.7404051451
377,69518.0781896502
382,39710.3849517178
386,42764.6380966478
387,61734.602637945
388,58442.1565743059
396,52870.2378503562
400,34826.5818815592
402,41547.6071726002
405,40898.2262283739
410,52526.7450177605
427,42228.5653084388
439,55434.2963621487
440,50873.7973741034
442,42346.9507873079
457,45142.5999695965
461,59041.8741850857
462,29875.1800117706
467,67519.4387806217
468,61305.6121287233
471,70006.2867209993
487,73831.7927079293
498,59160.1719713528
499,41710.8263076111
509,53480.1226691426
518,46084.09743084
529,47584.3207524745
530,72006.8656067378
535,38939.7435622157
536,32094.8907251
537,35975.9978441315
538,61919.0211495775
539,70093.3184828321
544,49741.6708871049
548,42254.9354735145
562,65696.2822517594
563,34801.8157669921
569,49825.8068050216
575,48478.1207992107
578,50415.2572225325
579,57423.3660373486
581,45917.2576205892
583,33327.5313151405
584,36761.6344255927
585,65361.9030268651
589,69297.0761697054
590,53120.1119394127
591,56389.1970708225
595,70928.2470098538
597,50269.7377437368
609,46167.8698499678
614,58086.2953375093
630,50192.2838677176
633,36986.0724887023
636,28123.2367695801
641,60130.2580715594
642,42035.3819936342
645,53160.5909001966
648,35914.5750443406
654,54602.4916461819
655,51508.02989562
669,45773.8024545575
682,50288.1157234656
712,40459.3447228743
731,39360.9739021311
735,49776.6973137172
739,50345.7906115139
740,40557.3479666246
742,54409.5595698349
745,32204.5007676251
750,48567.1258137774
757,38796.3579954415
758,39753.8032827128
760,46684.1605686896
767,49545.620130553
768,33099.8530259566
769,55316.2531295637
780,41574.6188896391
783,38968.0992281729
792,59701.6757137753
796,52180.2392029552
801,42412.0892304543
803,51103.747802597
808,52929.9201066444
812,72911.3774227075
813,46942.3245614599
815,40805.6080268842
820,59903.8086760299
822,52033.1545614117
826,55672.2406767197
837,56289.4584762812
852,28390.8740360652
854,45329.7922076518
855,56002.4486533134
858,74525.4594864786
869,84116.0800466788
876,48988.1891225768
879,72583.4855316617
889,51816.353461126
890,51940.0095512561
898,67648.9126179017
906,52516.4785654348
912,61960.4339577259
916,36747.5226240521
917,58005.2246956971
922,38262.0259746421
923,51853.2986030806
926,69074.2669984472
932,66783.6307068954
934,53064.1425084709
937,76145.0854544261
938,65897.6667266338
940,46826.5787674004
948,78918.041221563
955,60950.3063181793
956,59015.3167282401
965,49018.7659845659
974,47625.6064878128
975,24695.1297265058
981,55154.8963958058
984,34424.7503235458
994,39839.2994909329
996,50349.7392136819
1001,29008.8259175599
1006,43584.7557814566
1014,39771.7634513354
1015,52545.2141893243
1017,54423.2689389329
1018,32293.5037696698
1025,56082.6424791363
1026,63217.5337366649
1033,65727.4158959983
1035,32549.9193593818
1038,56952.9739301988
1039,59326.4339781915
1040,52927.5123362553
1048,43576.8963273049
1074,37344.7619614466
1078,67270.1735661926
1079,39928.789171833
1085,54377.8657564534
1093,55052.9158154321
1096,63032.0006636527
1099,47141.6563127535
1101,40334.3630741646
1102,56774.6399606551
1104,75587.4986761596
1105,58169.6315164091
1121,66188.1949566785
1137,49316.853432884
1141,41098.768477759
1143,59713.7152307259
1146,30681.1679540213
1151,39257.5028279926
1161,40650.0977794047
1163,61369.3596772849
1166,57329.9860523503
1171,58792.296676218
1177,45790.2972415632
1179,47640.1563807515
1183,40440.0753279765
1188,32598.1089998483
1200,41762.1127349706
1201,78329.0458196734
1203,59911.6098268703
1207,33754.259864523
1213,64751.5115099114
1215,53148.4143901047
1216,41610.4213862878
1218,51020.729206843
