"idloc","ropamujer"
22,198041590.991099
14,161972003.872589
91,198698183.942502
32,238622232.690664
28,202580064.780794
109,192807985.56577
46,215754821.847175
82,237925351.776519
55,232227088.153131
45,249638682.782124
69,219326843.158589
86,220106957.172251
30,252568881.429267
99,205748692.942858
115,211301049.42659
100,286076102.092161
123,170073549.387392
127,152958509.391977
130,173996659.270412
131,157219891.540173
132,228052966.581356
133,175208278.131759
137,195066493.048331
138,165288274.552383
140,262317409.879585
147,214034421.343505
154,221175010.531603
158,236419026.787061
161,214974146.105
164,220687398.09475
181,184424023.119526
183,276685701.508777
194,210035907.645705
202,216004931.40515
204,268259407.078398
210,161436374.419312
232,157534910.671916
240,133265504.387065
242,244799199.252977
244,256736577.872127
251,275322395.145572
259,214191634.896868
263,283385930.86814
270,234981863.671073
271,248899596.233585
274,218187298.205574
277,261346258.62034
279,207620789.549001
283,159490855.594059
289,228919896.86128
294,184444667.484907
295,274195584.672065
299,285686588.232083
303,264441548.625429
306,191657887.818341
307,166343132.235852
308,202834887.636677
318,170864262.5482
329,225327175.601979
331,232414048.055232
335,203309710.110182
336,172970213.02127
345,255063619.701086
346,199848071.791051
350,256430567.544212
353,197657059.584969
355,184110712.295541
356,205353988.384075
365,218926490.403629
370,273976703.097942
371,261780376.750869
372,207404685.655992
373,237195646.08748
375,279638543.173882
377,230967611.164532
382,186715735.377739
386,198546003.731721
387,273390612.554709
388,159737765.279593
396,221139163.691954
400,197832963.827482
402,189630786.129128
405,242780570.426126
410,200672163.855559
427,177143913.651199
439,219160654.404013
440,210507154.05281
442,235189280.362664
457,212534751.659157
461,204170664.836108
462,183322708.56394
467,207540296.328098
468,205437979.773596
471,237966631.672892
487,272641661.328684
498,271585770.810898
499,205725750.653536
509,226145848.696647
518,240431936.801176
529,244361882.865233
530,252878754.069021
535,171903687.103801
536,154636628.37824
537,225122609.6205
538,185801075.770294
539,288238414.582362
544,176837547.394677
548,191098167.214779
562,277031197.479504
563,223587103.858128
569,174998419.533089
575,193068117.115297
578,218205295.430503
579,187630294.207151
581,192823658.157403
583,184653970.924506
584,204484604.690295
585,279895020.592255
589,287492661.493034
590,224942418.875467
591,224929328.14278
595,248342464.551646
597,221041172.527747
609,266481256.940292
614,224494031.433814
630,274380136.287047
633,221116776.895562
636,156809082.074123
641,235272838.873227
642,228889169.24629
645,202824108.346582
648,196410279.835964
654,193761947.192642
655,215659360.526347
669,236886995.413965
682,270688821.617021
712,209322018.146967
731,222964393.609221
735,168423126.574153
739,158789524.703103
740,265362024.379755
742,267542329.685066
745,192540400.976784
750,168779288.705076
757,212918834.887833
758,238997544.166336
760,224001347.558482
767,273730367.418812
768,163873653.448592
769,171106889.572216
780,171640364.320008
783,254657366.457087
792,214529806.441574
796,231587667.006952
801,161262280.154418
803,208552966.057244
808,266163845.808168
812,260508528.665155
813,189715015.994504
815,206454168.628729
820,249262701.219948
822,226167851.951381
826,243921970.859977
837,251033529.115223
852,167713803.215669
854,243904759.704848
855,218438103.273987
858,217667971.397408
869,259150866.969167
876,268470260.650693
879,179310941.179484
889,215287260.756393
890,172082832.973972
898,279489103.67244
906,195267121.512252
912,247021650.990436
916,182742447.148241
917,174848944.289791
922,241531042.57781
923,243078772.198555
926,256734479.712963
932,260856805.197931
934,222300603.282076
937,293272883.402127
938,261996781.292282
940,215752589.246969
948,211011662.344833
955,257256940.812282
956,246159142.837992
965,218389542.739935
974,252671562.995865
975,145040440.221806
981,242166265.134845
984,187341150.458234
994,206679127.768776
996,152835424.060788
1001,166440425.482071
1006,239398688.71235
1014,160610398.723204
1015,210229294.516118
1017,177482586.607017
1018,171134572.556144
